,Polarization_bool,retweetCount
842,1,760.0
843,0,651.0
844,1,547.0
845,-1,776.0
846,-1,3161.0
847,1,192.0
848,-1,3772.0
849,1,188.0
850,1,1519.0
851,0,182.0
852,1,615.0
853,1,954.0
854,1,419.0
855,1,1104.0
856,-1,507.0
857,1,452.0
858,-1,892.0
859,1,448.0
860,1,904.0
861,1,526.0
862,-1,699.0
863,-1,2211.0
864,1,3066.0
865,1,858.0
866,1,671.0
867,1,1190.0
868,-1,389.0
869,-1,1016.0
870,1,366.0
871,1,1505.0
872,1,1390.0
873,1,1222.0
874,1,1279.0
875,1,258.0
876,-1,1168.0
877,1,5233.0
878,1,493.0
879,1,401.0
880,-1,6177.0
881,1,1153.0
882,-1,464.0
883,-1,1898.0
884,-1,823.0
885,-1,2183.0
886,1,817.0
887,0,3808.0
888,1,2081.0
889,-1,989.0
890,-1,729.0
891,-1,4623.0
892,0,1728.0
893,-1,3790.0
894,-1,287.0
895,1,1734.0
896,-1,1192.0
897,-1,917.0
898,-1,471.0
899,-1,7938.0
900,0,441.0
901,-1,964.0
902,0,314.0
903,1,1668.0
904,-1,5111.0
905,1,445.0
906,-1,940.0
907,0,3029.0
908,-1,921.0
909,1,4672.0
910,-1,747.0
911,-1,1650.0
912,-1,3979.0
913,1,688.0
914,0,420.0
915,-1,203.0
916,-1,2721.0
917,-1,3507.0
918,1,574.0
919,1,545.0
920,1,1083.0
921,1,965.0
922,1,816.0
923,-1,481.0
924,-1,1187.0
925,-1,1375.0
926,1,2267.0
927,1,1086.0
928,-1,27966.0
929,-1,887.0
930,0,392.0
931,-1,451.0
932,0,761.0
933,0,1135.0
934,1,1069.0
935,1,903.0
936,-1,3659.0
937,-1,12342.0
938,1,722.0
939,-1,528.0
940,-1,1070.0
941,1,448.0
942,1,1396.0
943,1,5211.0
944,-1,969.0
945,-1,854.0
946,-1,400.0
947,1,1584.0
948,1,292.0
949,0,859.0
950,-1,3839.0
951,-1,142.0
952,-1,2456.0
953,-1,740.0
954,-1,494.0
955,1,264.0
956,1,884.0
957,1,5369.0
958,-1,355.0
959,-1,755.0
960,0,22571.0
961,-1,1909.0
962,1,2831.0
963,0,889.0
964,-1,935.0
965,-1,901.0
966,0,661.0
967,-1,1166.0
968,1,2561.0
969,1,1077.0
970,0,727.0
971,1,539.0
972,1,3055.0
973,1,789.0
974,1,299.0
975,-1,651.0
976,0,6012.0
977,0,2053.0
978,-1,783.0
979,1,427.0
980,-1,285.0
981,-1,1233.0
982,-1,1546.0
983,-1,2226.0
984,1,514.0
985,1,418.0
986,-1,1340.0
987,-1,2287.0
988,1,903.0
989,1,1250.0
990,1,385.0
991,1,3658.0
992,1,263.0
993,1,290.0
994,1,809.0
995,-1,291.0
996,-1,1244.0
997,1,1207.0
998,-1,823.0
999,-1,1246.0
1000,0,306.0
